Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,JPN,1.0,AOKI M,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,1,0,0,JPN,1.0,GANGL E,0 - 0,480,HUN,8:00
Sprint won possession,12.0,1,0,0,JPN,1.0,SZILAGYI D,0 - 0,480,HUN,8:00
Action shot - Saved,8.0,1,0,0,JPN,1.0,KESZTHELYI R,0 - 0,451,HUN,7:31
Centre shot - Goal,10.0,1,1,0,JPN,1.0,BUJKA B,0 - 1,448,HUN,7:28
Turnover foul,5.0,1,1,0,JPN,1.0,SAKANOUE C,0 - 1,419,JPN,6:59
Steal,10.0,1,1,0,JPN,1.0,BUJKA B,0 - 1,419,HUN,6:59
Action shot - Missed,12.0,1,1,0,JPN,1.0,SZILAGYI D,0 - 1,392,HUN,6:32
Turnover foul,6.0,1,1,0,JPN,1.0,YAMAMOTO M,0 - 1,374,JPN,6:14
Steal,5.0,1,1,0,JPN,1.0,SZUCS G,0 - 1,374,HUN,6:14
Centre shot - Goal,10.0,1,2,0,JPN,1.0,BUJKA B,0 - 2,357,HUN,5:57
Turnover foul,7.0,1,2,0,JPN,1.0,INABA A,0 - 2,344,JPN,5:44
Steal,10.0,1,2,0,JPN,1.0,BUJKA B,0 - 2,344,HUN,5:44
Action shot - Saved,11.0,1,2,0,JPN,1.0,CSABAI D,0 - 2,330,HUN,5:30
Turnover foul,6.0,1,2,0,JPN,1.0,YAMAMOTO M,0 - 2,315,JPN,5:15
Steal,11.0,1,2,0,JPN,1.0,CSABAI D,0 - 2,315,HUN,5:15
Turnover foul,11.0,1,2,0,JPN,1.0,CSABAI D,0 - 2,297,HUN,4:57
Steal,1.0,1,2,0,JPN,1.0,AOKI M,0 - 2,297,JPN,4:57
Turnover foul,1.0,1,2,0,JPN,1.0,AOKI M,0 - 2,293,JPN,4:53
Steal,8.0,1,2,0,JPN,1.0,KESZTHELYI R,0 - 2,293,HUN,4:53
Counter attack - Goal,12.0,1,3,0,JPN,1.0,SZILAGYI D,0 - 3,285,HUN,4:45
Turnover foul,2.0,1,3,0,JPN,1.0,ARIMA Y,0 - 3,269,JPN,4:29
Steal,12.0,1,3,0,JPN,1.0,SZILAGYI D,0 - 3,269,HUN,4:29
Turnover foul,10.0,1,3,0,JPN,1.0,BUJKA B,0 - 3,243,HUN,4:03
Steal,1.0,1,3,0,JPN,1.0,AOKI M,0 - 3,243,JPN,4:03
Turnover foul,10.0,1,3,0,JPN,1.0,NORO M,0 - 3,234,JPN,3:54
Steal,1.0,1,3,0,JPN,1.0,GANGL E,0 - 3,234,HUN,3:54
Turnover foul,10.0,1,3,0,JPN,1.0,BUJKA B,0 - 3,209,HUN,3:29
Steal,6.0,1,3,0,JPN,1.0,YAMAMOTO M,0 - 3,209,JPN,3:29
Turnover foul,2.0,1,3,0,JPN,1.0,ARIMA Y,0 - 3,193,JPN,3:13
Steal,11.0,1,3,0,JPN,1.0,CSABAI D,0 - 3,193,HUN,3:13
Counter attack - Goal,12.0,1,4,0,JPN,1.0,SZILAGYI D,0 - 4,179,HUN,2:59
20 sec. exclusion in centre,8.0,1,4,0,JPN,1.0,KESZTHELYI R,0 - 4,162,HUN,2:42
Turnover foul,8.0,1,4,0,JPN,1.0,NIIZAWA Y,0 - 4,143,JPN,2:23
