Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,0,11.0,1,0,BRA,1.0,DUARTE M,0 - 0,454,BRA,7:34,Post,0
Extra player shot,0,3.0,1,1,BRA,1.0,ZABLITH M,1 - 0,442,BRA,7:22,Goal,1
Action shot,0,5.0,1,1,BRA,1.0,NIU G,1 - 0,411,CHN,6:51,Post,0
Action shot,0,5.0,1,1,BRA,1.0,NIU G,1 - 0,393,CHN,6:33,Saved,0
Action shot,0,2.0,1,2,BRA,1.0,ABLA D,2 - 0,364,BRA,6:04,Goal,1
Action shot,0,5.0,1,2,BRA,1.0,NIU G,2 - 0,337,CHN,5:37,Post,0
Action shot,0,2.0,1,2,BRA,1.0,ABLA D,2 - 0,323,BRA,5:23,Post,0
Centre shot,1,8.0,1,2,BRA,1.0,ZHANG C,2 - 1,307,CHN,5:07,Goal,1
Extra player shot,2,8.0,1,2,BRA,1.0,ZHANG C,2 - 2,255,CHN,4:15,Goal,1
Extra player shot,2,11.0,1,2,BRA,1.0,DUARTE M,2 - 2,220,BRA,3:40,Saved,0
Action shot,3,11.0,1,2,BRA,1.0,CHEN X,2 - 3,203,CHN,3:23,Goal,1
Counter attack,3,11.0,1,2,BRA,1.0,CHEN X,2 - 3,167,CHN,2:47,Saved,0
Action shot,3,3.0,1,2,BRA,1.0,ZABLITH M,2 - 3,151,BRA,2:31,Saved,0
Centre shot,3,4.0,1,2,BRA,1.0,SOUZA J,2 - 3,144,BRA,2:24,Post,0
Extra player shot,3,3.0,1,2,BRA,1.0,ZABLITH M,2 - 3,105,BRA,1:45,Saved,0
Counter attack,4,11.0,1,2,BRA,1.0,CHEN X,2 - 4,87,CHN,1:27,Goal,1
Action shot,4,2.0,1,2,BRA,1.0,ABLA D,2 - 4,58,BRA,0:58,Saved,0
Extra player shot,4,5.0,1,2,BRA,1.0,NIU G,2 - 4,1,CHN,0:01,Post,0
5m shot,4,3.0,1,2,BRA,2.0,ZABLITH M,2 - 4,409,BRA,6:49,Saved,0
Action shot,4,8.0,1,2,BRA,2.0,ZHANG C,2 - 4,378,CHN,6:18,Saved,0
5m shot,4,9.0,1,2,BRA,2.0,DIAS M,2 - 4,347,BRA,5:47,Saved,0
Centre shot,4,4.0,1,2,BRA,2.0,XIONG D,2 - 4,328,CHN,5:28,Saved,0
Counter attack,5,9.0,1,2,BRA,2.0,ZHAO Z,2 - 5,302,CHN,5:02,Goal,1
Action shot,5,11.0,1,2,BRA,2.0,DUARTE M,2 - 5,279,BRA,4:39,Saved,0
5m shot,5,11.0,1,2,BRA,2.0,DUARTE M,2 - 5,227,BRA,3:47,Blocked,0
5m shot,5,8.0,1,2,BRA,2.0,ZHANG C,2 - 5,204,CHN,3:24,Missed,0
Action shot,5,3.0,1,2,BRA,2.0,ZABLITH M,2 - 5,188,BRA,3:08,Missed,0
Action shot,6,10.0,1,2,BRA,2.0,ZHANG D,2 - 6,165,CHN,2:45,Goal,1
Extra player shot,6,2.0,1,2,BRA,2.0,ABLA D,2 - 6,125,BRA,2:05,Saved,0
Centre shot,6,2.0,1,2,BRA,2.0,ABLA D,2 - 6,72,BRA,1:12,Missed,0
Extra player shot,6,9.0,1,2,BRA,2.0,DIAS M,2 - 6,29,BRA,0:29,Missed,0
Action shot,6,9.0,1,2,BRA,2.0,ZHAO Z,2 - 6,12,CHN,0:12,Post,0
5m shot,6,1.0,1,2,BRA,2.0,CHAMORRO V,2 - 6,1,BRA,0:01,Missed,0
Action shot,6,3.0,1,2,BRA,3.0,ZABLITH M,2 - 6,455,BRA,7:35,Saved,0
5m shot,6,2.0,1,2,BRA,3.0,ABLA D,2 - 6,406,BRA,6:46,Missed,0
Action shot,6,5.0,1,2,BRA,3.0,NIU G,2 - 6,377,CHN,6:17,Saved,0
Action shot,6,10.0,1,2,BRA,3.0,BAHIA V,2 - 6,348,BRA,5:48,Saved,0
Action shot,6,4.0,1,2,BRA,3.0,XIONG D,2 - 6,245,CHN,4:05,Missed,0
5m shot,6,7.0,1,2,BRA,3.0,FERREIRA S,2 - 6,215,BRA,3:35,Missed,0
Counter attack,6,9.0,1,3,BRA,3.0,DIAS M,3 - 6,180,BRA,3:00,Goal,1
Action shot,6,11.0,1,3,BRA,3.0,DUARTE M,3 - 6,159,BRA,2:39,Saved,0
Action shot,7,12.0,1,3,BRA,3.0,ZHANG J,3 - 7,57,CHN,0:57,Goal,1
5m shot,7,11.0,1,4,BRA,3.0,DUARTE M,4 - 7,1,BRA,0:01,Goal,1
Extra player shot,8,8.0,1,4,BRA,4.0,ZHANG C,4 - 8,434,CHN,7:14,Goal,1
5m shot,8,11.0,1,4,BRA,4.0,DUARTE M,4 - 8,416,BRA,6:56,Saved,0
Action shot,8,2.0,1,4,BRA,4.0,ABLA D,4 - 8,348,BRA,5:48,Saved,0
Action shot,8,6.0,1,4,BRA,4.0,GUO N,4 - 8,330,CHN,5:30,Post,0
Action shot,9,5.0,1,4,BRA,4.0,NIU G,4 - 9,328,CHN,5:28,Goal,1
Action shot,9,3.0,1,4,BRA,4.0,MEI X,4 - 9,252,CHN,4:12,Blocked,0
Action shot,9,11.0,1,4,BRA,4.0,DUARTE M,4 - 9,224,BRA,3:44,Saved,0
Action shot,9,10.0,1,4,BRA,4.0,BAHIA V,4 - 9,171,BRA,2:51,Post,0
Extra player shot,9,7.0,1,4,BRA,4.0,NONG S,4 - 9,143,CHN,2:23,Saved,0
5m shot,9,5.0,1,4,BRA,4.0,NIU G,4 - 9,106,CHN,1:46,Missed,0
