Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,0,FRA,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Starting goalkeeper,1.0,1,0,0,FRA,1.0,COUNIL L,0 - 0,480,FRA,8:00
Sprint won possession,4.0,1,0,0,FRA,1.0,van der SLOOT S,0 - 0,480,NED,8:00
20 sec. exclusion in centre,8.0,1,0,0,FRA,1.0,BATTU A,0 - 0,466,FRA,7:46
Extra player shot - Goal,2.0,1,1,0,FRA,1.0,SMIT Y,1 - 0,453,NED,7:33
20 sec. exclusion in centre,6.0,1,1,0,FRA,1.0,STOMPHORST N,1 - 0,431,NED,7:11
20 sec. exclusion in centre,2.0,1,1,0,FRA,1.0,MILLOT E,1 - 0,385,FRA,6:25
Extra player shot - Goal,9.0,1,2,0,FRA,1.0,MEGENS M,2 - 0,369,NED,6:09
Turnover foul,12.0,1,2,0,FRA,1.0,DAULE A,2 - 0,340,FRA,5:40
Action shot - Missed,2.0,1,2,0,FRA,1.0,SMIT Y,2 - 0,330,NED,5:30
Turnover foul,3.0,1,2,0,FRA,1.0,BACHELIER L,2 - 0,322,FRA,5:22
Action shot - Saved,4.0,1,2,0,FRA,1.0,van der SLOOT S,2 - 0,311,NED,5:11
Action shot - Blocked,5.0,1,2,0,FRA,1.0,GUILLET L,2 - 0,283,FRA,4:43
Action shot - Blocked,3.0,1,2,0,FRA,1.0,GENEE D,2 - 0,257,NED,4:17
Penalty foul,11.0,1,2,0,FRA,1.0,BARBIEUX M,2 - 0,256,FRA,4:16
Penalty shot - Goal,4.0,1,3,0,FRA,1.0,van der SLOOT S,3 - 0,256,NED,4:16
20 sec. exclusion in centre,11.0,1,3,0,FRA,1.0,KLAASSEN L,3 - 0,237,NED,3:57
Action shot - Goal,9.0,1,4,0,FRA,1.0,MEGENS M,4 - 0,202,NED,3:22
Action shot - Missed,9.0,1,4,0,FRA,1.0,SACRE A,4 - 0,177,FRA,2:57
Action shot - Saved,9.0,1,4,0,FRA,1.0,MEGENS M,4 - 0,166,NED,2:46
Turnover foul,7.0,1,4,0,FRA,1.0,VALVERDE C,4 - 0,138,FRA,2:18
Steal,4.0,1,4,0,FRA,1.0,van der SLOOT S,4 - 0,138,NED,2:18
Action shot - Saved,4.0,1,4,0,FRA,1.0,van der SLOOT S,4 - 0,125,NED,2:05
5m shot - Goal,11.0,1,5,0,FRA,1.0,KLAASSEN L,5 - 0,110,NED,1:50
Centre shot - Saved,3.0,1,5,0,FRA,1.0,BACHELIER L,5 - 0,82,FRA,1:22
5m shot - Goal,11.0,1,6,0,FRA,1.0,KLAASSEN L,6 - 0,65,NED,1:05
Turnover foul,2.0,1,6,0,FRA,1.0,MILLOT E,6 - 0,52,FRA,0:52
Centre shot - Goal,12.0,1,7,0,FRA,1.0,JOUSTRA K,7 - 0,41,NED,0:41
Turnover foul,3.0,1,7,0,FRA,1.0,BACHELIER L,7 - 0,32,FRA,0:32
20 sec. exclusion in centre,3.0,1,7,0,FRA,1.0,BACHELIER L,7 - 0,19,FRA,0:19
Action shot - Saved,5.0,1,7,0,FRA,1.0,GENEE A,7 - 0,4,NED,0:04
5m shot - Missed,9.0,1,7,0,FRA,1.0,MEGENS M,7 - 0,1,NED,0:01
Starting goalkeeper,1.0,1,7,0,FRA,2.0,AARTS L,7 - 0,480,NED,8:00
Starting goalkeeper,1.0,1,7,0,FRA,2.0,COUNIL L,7 - 0,480,FRA,8:00
Sprint won possession,4.0,1,7,0,FRA,2.0,van der SLOOT S,7 - 0,480,NED,8:00
5m shot - Goal,11.0,1,8,0,FRA,2.0,KLAASSEN L,8 - 0,460,NED,7:40
5m shot - Missed,8.0,1,8,0,FRA,2.0,BATTU A,8 - 0,436,FRA,7:16
5m shot - Blocked,10.0,1,8,0,FRA,2.0,KOOLHAAS I,8 - 0,406,NED,6:46
Action shot - Saved,2.0,1,8,0,FRA,2.0,MILLOT E,8 - 0,380,FRA,6:20
Action shot - Goal,4.0,1,9,0,FRA,2.0,van der SLOOT S,9 - 0,366,NED,6:06
5m shot - Saved,9.0,1,9,0,FRA,2.0,SACRE A,9 - 0,337,FRA,5:37
Action shot - Goal,3.0,1,10,0,FRA,2.0,GENEE D,10 - 0,313,NED,5:13
Turnover foul,9.0,1,10,0,FRA,2.0,SACRE A,10 - 0,302,FRA,5:02
Steal,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,302,NED,5:02
Turnover foul,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,283,NED,4:43
Steal,3.0,1,10,0,FRA,2.0,BACHELIER L,10 - 0,283,FRA,4:43
20 sec. exclusion in field,8.0,1,10,0,FRA,2.0,SEVENICH V,10 - 0,282,NED,4:42
Turnover foul,4.0,1,10,0,FRA,2.0,SACRE A,10 - 0,246,FRA,4:06
Steal,5.0,1,10,0,FRA,2.0,GENEE A,10 - 0,246,NED,4:06
Turnover foul,4.0,1,10,0,FRA,2.0,van der SLOOT S,10 - 0,239,NED,3:59
Steal,2.0,1,10,0,FRA,2.0,MILLOT E,10 - 0,239,FRA,3:59
5m shot - Saved,2.0,1,10,0,FRA,2.0,MILLOT E,10 - 0,210,FRA,3:30
5m shot - Goal,3.0,1,11,0,FRA,2.0,GENEE D,11 - 0,184,NED,3:04
5m shot - Saved,2.0,1,11,0,FRA,2.0,SMIT Y,11 - 0,131,NED,2:11
Turnover foul,2.0,1,11,0,FRA,2.0,SMIT Y,11 - 0,121,NED,2:01
Steal,12.0,1,11,0,FRA,2.0,DAULE A,11 - 0,121,FRA,2:01
20 sec. exclusion in centre,9.0,1,11,0,FRA,2.0,MEGENS M,11 - 0,102,NED,1:42
Time-Out,,1,11,0,FRA,2.0,,11 - 0,102,FRA,1:42
Action shot - Saved,2.0,1,11,0,FRA,2.0,MILLOT E,11 - 0,73,FRA,1:13
Centre shot - Goal,3.0,1,12,0,FRA,2.0,GENEE D,12 - 0,62,NED,1:02
5m shot - Post,2.0,1,12,0,FRA,2.0,MILLOT E,12 - 0,34,FRA,0:34
Penalty foul,9.0,1,12,0,FRA,4.0,SACRE A,12 - 0,177,FRA,2:57
Turnover foul,6.0,1,12,0,FRA,4.0,MAHIEU G,12 - 0,156,FRA,2:36
Steal,1.0,1,12,0,FRA,4.0,AARTS L,12 - 0,156,NED,2:36
